company,sector,market_cap,combs_score,weschler_score,combined_score,combs_unit_economics,combs_frictionless,combs_capital_allocation,combs_moat,weschler_variant,weschler_complexity,weschler_distressed,weschler_quality,weschler_compounding,trailing_pe,forward_pe,roic,fcf_yield,gross_margin,operating_margin,revenue_cagr_3y,drawdown_52w,combs_style_flag,weschler_style_flag,run_date,run_timestamp,ticker,description,peg_ratio,price_to_book,dividend_yield,short_percent,analyst_count,beta,net_margin,margin_stability,margin_trend,revenue_cagr_5y,revenue_acceleration,earnings_cagr_3y,earnings_cagr_5y,interest_coverage,earnings_consistency,revenue_stability,debt_to_equity,roe,altman_z,book_value_growth,fcf,reinvestment_rate,price_vs_200ma,current_price,pe_gap
3M Company,Industrials,79173550080.0,49.752186383251626,45.38788315651153,47.57003476988157,9.702286488000606,10.802329317269075,16.825598066565078,12.421972511416865,12.526539278131636,5.206633835269683,8.039781376518217,11.694462435655176,7.920466230936819,25.053335,15.983956,0.3024603545044431,0.0176321511235687,0.3991101491101491,0.192039442039442,-0.0157008013685999,-0.1186090384657022,False,False,2026-04-11,2026-04-11 23:14:52,MMM,,,,,,,,,,,,,,,,,,,,,,,,,,
A. O. Smith Corporation,Industrials,9116070912.0,55.0021324139075,62.6926506724812,58.84739154319435,13.84217841162675,6.569899598393573,17.772643499495175,16.817410904392005,10.222929936305732,13.465262056208218,12.419603238866396,16.21907213136118,10.365783309739667,17.122078,15.171635,0.296466804980305,0.059894224745583,0.3883348128035089,0.1900684037387081,0.0067297844431803,-0.1548718183468549,False,False,2026-04-11,2026-04-11 23:14:52,AOS,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbott Laboratories,Health Care,174289600512.0,52.84364146083075,52.19717854309605,52.5204100019634,14.883629855464214,12.689236947791166,12.644142890053605,12.626631767521769,10.53503184713376,4.215352923995585,13.740242914979756,12.0212458460937,11.685305010893243,26.962366,16.420067,0.1079859626600851,0.0424293817776629,0.5641806533116765,0.181668471395055,0.0051279441696463,-0.2521809952753777,False,False,2026-04-11,2026-04-11 23:14:52,ABT,,,,,,,,,,,,,,,,,,,,,,,,,,
AbbVie Inc.,Health Care,367796453376.0,56.75657930905879,53.017983728376485,54.88728151871764,14.979405977167676,15.5335140562249,13.45846400197958,12.785195273686634,10.029723991507431,10.335657655611088,13.504194331983808,11.91118655111748,7.237221198156682,87.7384,12.9211855,0.2185110529240266,0.0484398363183416,0.7023544800523218,0.3284990189666448,0.0175250491815381,-0.1040158531505934,False,False,2026-04-11,2026-04-11 23:14:52,ABBV,,,,,,,,,,,,,,,,,,,,,,,,,,
Accenture plc,Information Technology,110489067520.0,60.40607742301092,65.93260980541113,63.16934361421103,11.938269720842824,15.670602409638551,18.105472914639847,14.691732377889702,11.575371549893845,8.047629648860907,16.626955465587045,17.61681436111292,12.065838779956426,14.703522,12.026563,0.2963322700524483,0.0984202350882506,0.319139528084181,0.1555981740237682,0.0419365417641481,-0.4256740021581502,False,True,2026-04-11,2026-04-11 23:14:52,ACN,,,,,,,,,,,,,,,,,,,,,,,,,,
Adobe Inc.,Information Technology,91860983808.0,79.8356193492225,59.26983974743763,69.55272954833006,22.51143952281277,15.537289156626509,22.8618137007715,18.925076969011712,14.131634819532907,4.931900434867268,15.885684210526312,14.460308203557698,9.860312078953443,13.139942,8.550245,0.5535157478882614,0.1072490146697297,0.8926753334174765,0.3662754007320459,0.1052233993251612,-0.457105668429367,True,False,2026-04-11,2026-04-11 23:14:52,ADBE,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Micro Devices, Inc.",Information Technology,399515877376.0,50.47146174024114,34.1022325924066,42.28684716632387,10.08965519115139,22.631787148594377,8.031341750142719,9.718677650352664,9.881104033970276,4.376597325890829,4.735538461538462,6.773062487782631,8.335930283224402,93.52672,22.668024,0.0617532070519565,0.0168579032308681,0.4951644100580271,0.106642801466555,0.1364359933536842,-0.0432609793936043,False,False,2026-04-11,2026-04-11 23:14:52,AMD,,,,,,,,,,,,,,,,,,,,,,,,,,
The AES Corporation,Utilities,10261100544.0,41.82385735896035,57.29827645820372,49.56106690858204,8.797580618461943,7.605020080321284,14.62463962567445,10.796617034502674,14.235668789808916,11.128510904134483,9.080485829959514,9.878390890727829,12.975220043572984,10.984734,6.028185,0.2064051404833528,-0.1581701683011985,0.1807406196354124,0.1610398103490558,-0.010249740650209,-0.1672453835928508,False,False,2026-04-11,2026-04-11 23:14:52,AES,,,,,,,,,,,,,,,,,,,,,,,,,,
Aflac Incorporated,Financials,58019409920.0,43.35032805756451,46.150912939345446,44.75062049845498,13.855421686746988,6.372188755020081,10.622717615797445,12.5,7.35456475583864,8.757997501135847,9.382064777327932,12.75,7.9062859050430205,16.23167,14.328743,,0.0440369869931969,,,-0.0322918754744073,-0.0145385694333474,False,False,2026-04-11,2026-04-11 23:14:52,AFL,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agilent Technologies, Inc.",Health Care,32543528960.0,55.29488083439916,53.32671159138086,54.31079621289001,15.813633040461603,11.88028112449799,14.73620819795359,12.86475847148598,10.237791932059448,6.878232459271761,12.390170040485833,16.38210725223171,7.438409907332108,25.399557,17.476204,0.161684639205444,0.0353987424478749,0.5243235463442717,0.21286701208981,0.0048440980706059,-0.2473703127278491,False,False,2026-04-11,2026-04-11 23:14:52,A,,,,,,,,,,,,,,,,,,,,,,,,,,
